City,ST,2023 estimate,2020 census,Change (%),2020 land area (mi2),2020 land area (km2),2020 density (/mi2),2020 density (/km2),Latitude,Longitude,Category
New York,NY,8258035,8804190,-0.062,300.5,778.3,29298,11312,40.66,-73.94,State largest city
Los Angeles,CA,3820914,3898747,-0.02,469.5,1216.0,8304,3206,34.02,-118.41,State largest city
Chicago,IL,2664452,2746388,-0.0298,227.7,589.7,12061,4657,41.84,-87.68,State largest city
Houston,TX,2314157,2304580,0.0042,640.4,1658.6,3599,1390,29.79,-95.39,State largest city
Phoenix,AZ,1650070,1608139,0.026099999999999998,518.0,1341.6,3105,1199,33.57,-112.09,State capital and largest city
Philadelphia,PA,1550542,1603797,-0.0332,134.4,348.1,11933,4607,40.01,-75.13,State largest city
San Antonio,TX,1495295,1434625,0.042300000000000004,498.8,1291.9,2876,1110,29.46,-98.52,Regular City
San Diego,CA,1388320,1386932,0.001,325.9,844.1,4256,1643,32.81,-117.14,Regular City
Dallas,TX,1302868,1304379,-0.0012,339.6,879.6,3841,1483,32.79,-96.77,Regular City
Jacksonville,FL,985843,949611,0.0382,747.3,1935.5,1271,491,30.34,-81.66,State largest city
Austin,TX,979882,961855,0.0187,319.9,828.5,3007,1161,30.3,-97.75,State capital
Fort Worth,TX,978468,918915,0.06480000000000001,347.3,899.5,2646,1022,32.78,-97.35,Regular City
San Jose,CA,969655,1013240,-0.043,178.3,461.8,5683,2194,37.3,-121.81,Regular City
Columbus,OH,913175,905748,0.008199999999999999,220.0,569.8,4117,1590,39.99,-82.99,State capital and largest city
Charlotte,NC,911311,874579,0.042,308.3,798.5,2837,1095,35.21,-80.83,State largest city
Indianapolis,IN,879293,887642,-0.009399999999999999,361.6,936.5,2455,948,39.78,-86.15,State capital and largest city
San Francisco,CA,808988,873965,-0.07429999999999999,46.9,121.5,18635,7195,37.73,-123.03,Regular City
Seattle,WA,755078,737015,0.0245,83.8,217.0,8795,3396,47.62,-122.35,State largest city
Denver,CO,716577,715522,0.0015,153.1,396.5,4674,1805,39.76,-104.88,State capital and largest city
Oklahoma City,OK,702767,681054,0.0319,606.2,1570.1,1123,434,35.47,-97.51,State capital and largest city
Nashville,TN,687788,689447,-0.0024,475.8,1232.3,1449,559,36.17,-86.79,State capital and largest city
Washington,WA,678972,689545,-0.015300000000000001,61.1,158.2,11286,4358,38.9,-77.02,Federal Capital
El Paso,TX,678958,678815,0.0002,258.4,669.3,2627,1014,31.85,-106.43,Regular City
Las Vegas,NV,660929,641903,0.0296,141.8,367.3,4527,1748,36.23,-115.26,State largest city
Boston,MA,653833,675647,-0.0323,48.3,125.1,13989,5401,42.34,-71.02,State capital and largest city
Detroit,MI,633218,639111,-0.0092,138.7,359.2,4608,1779,42.38,-83.1,State largest city
Portland,OR,630498,652503,-0.0337,133.5,345.8,4888,1887,45.54,-122.65,State largest city
Louisville,KY,622981,633045,-0.0159,324.9,841.5,1948,752,38.17,-85.65,State largest city
Memphis,TN,618639,633104,-0.022799999999999997,297.0,769.2,2132,823,35.11,-89.97,Regular City
Baltimore,MD,565239,585708,-0.0349,80.9,209.5,7240,2800,39.3,-76.61,State largest city
Milwaukee,WI,561385,577222,-0.0274,96.2,249.2,6000,2300,43.06,-87.97,State largest city
Albuquerque,NM,560274,564559,-0.0076,187.3,485.1,3014,1164,35.1,-106.65,State largest city
Tucson,AZ,547239,542629,0.0085,241.0,624.2,2252,870,32.15,-110.87,Regular City
